Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
SP1,09-05-2009,Ath Bilbao,Betis,1,0,H,1,0,H,2008
SP1,09-05-2009,Sevilla,Mallorca,3,1,H,1,1,D,2008
SP1,09-05-2009,Valencia,Real Madrid,3,0,H,2,0,H,2008
SP1,10-05-2009,Almeria,Sp Gijon,3,1,H,1,1,D,2008
SP1,10-05-2009,Ath Madrid,Espanol,3,2,H,0,2,A,2008
SP1,10-05-2009,Barcelona,Villarreal,3,3,D,3,1,H,2008
SP1,10-05-2009,Getafe,Osasuna,3,0,H,1,0,H,2008
SP1,10-05-2009,Malaga,Santander,1,0,H,0,0,D,2008
SP1,10-05-2009,Recreativo,La Coruna,1,2,A,1,1,D,2008
SP1,10-05-2009,Valladolid,Numancia,0,0,D,0,0,D,2008
SP1,16-05-2009,La Coruna,Getafe,1,1,D,0,0,D,2008
SP1,16-05-2009,Osasuna,Sevilla,0,0,D,0,0,D,2008
SP1,16-05-2009,Villarreal,Real Madrid,3,2,H,1,0,H,2008
SP1,17-05-2009,Ath Madrid,Valencia,1,0,H,1,0,H,2008
SP1,17-05-2009,Betis,Almeria,2,0,H,1,0,H,2008
SP1,17-05-2009,Espanol,Ath Bilbao,1,0,H,0,0,D,2008
SP1,17-05-2009,Mallorca,Barcelona,2,1,H,0,1,A,2008
SP1,17-05-2009,Numancia,Recreativo,1,0,H,0,0,D,2008
SP1,17-05-2009,Santander,Valladolid,3,2,H,1,2,A,2008
SP1,17-05-2009,Sp Gijon,Malaga,2,1,H,1,1,D,2008
SP1,23-05-2009,Almeria,Espanol,0,3,A,0,1,A,2008
SP1,23-05-2009,Ath Bilbao,Ath Madrid,1,4,A,0,0,D,2008
SP1,23-05-2009,Barcelona,Osasuna,0,1,A,0,1,A,2008
SP1,23-05-2009,Getafe,Numancia,1,0,H,0,0,D,2008
SP1,23-05-2009,Malaga,Betis,1,1,D,0,1,A,2008
SP1,23-05-2009,Recreativo,Santander,0,1,A,0,0,D,2008
SP1,23-05-2009,Sevilla,La Coruna,1,0,H,0,0,D,2008
SP1,23-05-2009,Valladolid,Sp Gijon,1,2,A,0,1,A,2008
SP1,23-05-2009,Villarreal,Valencia,3,1,H,2,1,H,2008
SP1,24-05-2009,Real Madrid,Mallorca,1,3,A,1,1,D,2008
SP1,30-05-2009,Ath Madrid,Almeria,3,0,H,2,0,H,2008
SP1,30-05-2009,La Coruna,Barcelona,1,1,D,1,0,H,2008
SP1,30-05-2009,Mallorca,Villarreal,2,3,A,1,2,A,2008
SP1,30-05-2009,Valencia,Ath Bilbao,2,0,H,1,0,H,2008
SP1,31-05-2009,Betis,Valladolid,1,1,D,0,1,A,2008
SP1,31-05-2009,Espanol,Malaga,3,0,H,2,0,H,2008
SP1,31-05-2009,Numancia,Sevilla,0,2,A,0,0,D,2008
SP1,31-05-2009,Osasuna,Real Madrid,2,1,H,1,1,D,2008
SP1,31-05-2009,Santander,Getafe,1,1,D,1,1,D,2008
SP1,31-05-2009,Sp Gijon,Recreativo,2,1,H,0,1,A,2008
SP1,29-08-2009,Real Madrid,La Coruna,3,2,H,2,1,H,2009
SP1,29-08-2009,Zaragoza,Tenerife,1,0,H,0,0,D,2009
SP1,30-08-2009,Almeria,Valladolid,0,0,D,0,0,D,2009
SP1,30-08-2009,Ath Bilbao,Espanol,1,0,H,0,0,D,2009
SP1,30-08-2009,Malaga,Ath Madrid,3,0,H,1,0,H,2009
SP1,30-08-2009,Mallorca,Xerez,2,0,H,0,0,D,2009
SP1,30-08-2009,Osasuna,Villarreal,1,1,D,1,1,D,2009
SP1,30-08-2009,Santander,Getafe,1,4,A,1,3,A,2009
SP1,30-08-2009,Valencia,Sevilla,2,0,H,0,0,D,2009
SP1,31-08-2009,Barcelona,Sp Gijon,3,0,H,2,0,H,2009
SP1,12-09-2009,Ath Madrid,Santander,1,1,D,1,1,D,2009
SP1,12-09-2009,Espanol,Real Madrid,0,3,A,0,1,A,2009
SP1,12-09-2009,Getafe,Barcelona,0,2,A,0,0,D,2009
SP1,12-09-2009,Sevilla,Zaragoza,4,1,H,2,1,H,2009
SP1,13-09-2009,La Coruna,Malaga,1,0,H,0,0,D,2009
SP1,13-09-2009,Sp Gijon,Almeria,1,0,H,1,0,H,2009
SP1,13-09-2009,Tenerife,Osasuna,2,1,H,0,0,D,2009
SP1,13-09-2009,Valladolid,Valencia,2,4,A,1,3,A,2009
SP1,13-09-2009,Villarreal,Mallorca,1,1,D,0,0,D,2009
SP1,13-09-2009,Xerez,Ath Bilbao,0,1,A,0,1,A,2009
SP1,19-09-2009,Barcelona,Ath Madrid,5,2,H,4,1,H,2009
SP1,19-09-2009,La Coruna,Espanol,2,3,A,1,2,A,2009
SP1,19-09-2009,Malaga,Santander,1,2,A,0,1,A,2009
SP1,19-09-2009,Mallorca,Tenerife,4,0,H,1,0,H,2009
SP1,19-09-2009,Osasuna,Sevilla,0,2,A,0,1,A,2009
SP1,20-09-2009,Almeria,Getafe,1,0,H,0,0,D,2009
SP1,20-09-2009,Ath Bilbao,Villarreal,3,2,H,2,0,H,2009
SP1,20-09-2009,Real Madrid,Xerez,5,0,H,1,0,H,2009
SP1,20-09-2009,Valencia,Sp Gijon,2,2,D,1,1,D,2009
SP1,20-09-2009,Zaragoza,Valladolid,1,2,A,1,1,D,2009
SP1,22-09-2009,Santander,Barcelona,1,4,A,0,3,A,2009
SP1,22-09-2009,Sevilla,Mallorca,2,0,H,2,0,H,2009
SP1,23-09-2009,Ath Madrid,Almeria,2,2,D,1,1,D,2009
SP1,23-09-2009,Espanol,Malaga,2,1,H,0,1,A,2009
SP1,23-09-2009,Getafe,Valencia,3,1,H,2,1,H,2009
SP1,23-09-2009,Tenerife,Ath Bilbao,1,0,H,0,0,D,2009
SP1,23-09-2009,Valladolid,Osasuna,1,2,A,0,1,A,2009
SP1,23-09-2009,Villarreal,Real Madrid,0,2,A,0,1,A,2009
SP1,23-09-2009,Xerez,La Coruna,0,3,A,0,1,A,2009
SP1,24-09-2009,Sp Gijon,Zaragoza,1,1,D,1,0,H,2009
SP1,26-09-2009,Ath Bilbao,Sevilla,0,4,A,0,3,A,2009
SP1,26-09-2009,Malaga,Barcelona,0,2,A,0,1,A,2009
SP1,26-09-2009,Real Madrid,Tenerife,3,0,H,0,0,D,2009
SP1,26-09-2009,Valencia,Ath Madrid,2,2,D,2,1,H,2009
SP1,27-09-2009,Almeria,Santander,2,2,D,1,0,H,2009
SP1,27-09-2009,Espanol,Xerez,0,0,D,0,0,D,2009
SP1,27-09-2009,La Coruna,Villarreal,1,0,H,1,0,H,2009
SP1,27-09-2009,Mallorca,Valladolid,3,0,H,1,0,H,2009
SP1,27-09-2009,Osasuna,Sp Gijon,1,0,H,0,0,D,2009
SP1,27-09-2009,Zaragoza,Getafe,3,0,H,2,0,H,2009
SP1,03-10-2009,Ath Madrid,Zaragoza,2,1,H,1,0,H,2009
SP1,03-10-2009,Barcelona,Almeria,1,0,H,1,0,H,2009
SP1,03-10-2009,Tenerife,La Coruna,0,1,A,0,0,D,2009
SP1,04-10-2009,Getafe,Osasuna,2,1,H,0,0,D,2009
SP1,04-10-2009,Santander,Valencia,0,1,A,0,0,D,2009
SP1,04-10-2009,Sevilla,Real Madrid,2,1,H,1,0,H,2009
SP1,04-10-2009,Sp Gijon,Mallorca,4,1,H,0,1,A,2009
SP1,04-10-2009,Valladolid,Ath Bilbao,2,2,D,0,1,A,2009
SP1,04-10-2009,Villarreal,Espanol,0,0,D,0,0,D,2009
SP1,04-10-2009,Xerez,Malaga,1,1,D,0,0,D,2009
SP1,17-10-2009,La Coruna,Sevilla,1,0,H,1,0,H,2009
SP1,17-10-2009,Real Madrid,Valladolid,4,2,H,3,1,H,2009
SP1,17-10-2009,Valencia,Barcelona,0,0,D,0,0,D,2009
SP1,18-10-2009,Ath Bilbao,Sp Gijon,1,2,A,0,0,D,2009
SP1,18-10-2009,Espanol,Tenerife,2,1,H,1,1,D,2009
SP1,18-10-2009,Malaga,Almeria,1,2,A,0,2,A,2009
SP1,18-10-2009,Mallorca,Getafe,3,1,H,1,0,H,2009
SP1,18-10-2009,Osasuna,Ath Madrid,3,0,H,3,0,H,2009
SP1,18-10-2009,Xerez,Villarreal,2,1,H,1,1,D,2009
SP1,18-10-2009,Zaragoza,Santander,2,2,D,2,0,H,2009
SP1,24-10-2009,Ath Madrid,Mallorca,1,1,D,0,0,D,2009
SP1,24-10-2009,Sevilla,Espanol,0,0,D,0,0,D,2009
SP1,24-10-2009,Sp Gijon,Real Madrid,0,0,D,0,0,D,2009
SP1,25-10-2009,Almeria,Valencia,0,3,A,0,0,D,2009
SP1,25-10-2009,Barcelona,Zaragoza,6,1,H,3,0,H,2009
SP1,25-10-2009,Getafe,Ath Bilbao,2,0,H,0,0,D,2009
SP1,25-10-2009,Santander,Osasuna,1,1,D,0,0,D,2009
SP1,25-10-2009,Tenerife,Xerez,1,0,H,0,0,D,2009
SP1,25-10-2009,Valladolid,La Coruna,4,0,H,1,0,H,2009
SP1,25-10-2009,Villarreal,Malaga,2,1,H,1,1,D,2009
SP1,31-10-2009,Ath Bilbao,Ath Madrid,1,0,H,1,0,H,2009
SP1,31-10-2009,Osasuna,Barcelona,1,1,D,0,0,D,2009
SP1,31-10-2009,Real Madrid,Getafe,2,0,H,0,0,D,2009
SP1,31-10-2009,Xerez,Sevilla,0,2,A,0,1,A,2009
SP1,01-11-2009,Espanol,Valladolid,1,1,D,0,0,D,2009
SP1,01-11-2009,La Coruna,Sp Gijon,1,1,D,1,0,H,2009
SP1,01-11-2009,Malaga,Valencia,0,1,A,0,0,D,2009
SP1,01-11-2009,Mallorca,Santander,1,0,H,1,0,H,2009
SP1,01-11-2009,Villarreal,Tenerife,5,0,H,1,0,H,2009
SP1,01-11-2009,Zaragoza,Almeria,2,1,H,2,1,H,2009
SP1,07-11-2009,Ath Madrid,Real Madrid,2,3,A,0,2,A,2009
SP1,07-11-2009,Barcelona,Mallorca,4,2,H,3,1,H,2009
SP1,07-11-2009,Getafe,La Coruna,0,2,A,0,1,A,2009
SP1,07-11-2009,Tenerife,Malaga,2,2,D,2,1,H,2009
SP1,08-11-2009,Almeria,Osasuna,2,0,H,1,0,H,2009
SP1,08-11-2009,Santander,Ath Bilbao,0,2,A,0,1,A,2009
SP1,08-11-2009,Sevilla,Villarreal,3,2,H,1,1,D,2009
SP1,08-11-2009,Sp Gijon,Espanol,1,0,H,1,0,H,2009
SP1,08-11-2009,Valencia,Zaragoza,3,1,H,3,0,H,2009
SP1,08-11-2009,Valladolid,Xerez,0,0,D,0,0,D,2009
SP1,21-11-2009,Ath Bilbao,Barcelona,1,1,D,0,0,D,2009
SP1,21-11-2009,La Coruna,Ath Madrid,2,1,H,1,1,D,2009
SP1,21-11-2009,Real Madrid,Santander,1,0,H,1,0,H,2009
SP1,21-11-2009,Tenerife,Sevilla,1,2,A,0,1,A,2009
SP1,22-11-2009,Espanol,Getafe,0,2,A,0,0,D,2009
SP1,22-11-2009,Malaga,Zaragoza,1,1,D,0,0,D,2009
SP1,22-11-2009,Mallorca,Almeria,3,1,H,0,0,D,2009
SP1,22-11-2009,Osasuna,Valencia,1,3,A,0,2,A,2009
SP1,22-11-2009,Villarreal,Valladolid,3,1,H,1,0,H,2009
SP1,22-11-2009,Xerez,Sp Gijon,0,0,D,0,0,D,2009
SP1,28-11-2009,Sevilla,Malaga,2,2,D,0,2,A,2009
SP1,28-11-2009,Sp Gijon,Villarreal,1,0,H,0,0,D,2009
SP1,28-11-2009,Valencia,Mallorca,1,1,D,0,0,D,2009
SP1,29-11-2009,Almeria,Ath Bilbao,1,4,A,0,2,A,2009
SP1,29-11-2009,Ath Madrid,Espanol,4,0,H,1,0,H,2009
SP1,29-11-2009,Barcelona,Real Madrid,1,0,H,0,0,D,2009
SP1,29-11-2009,Getafe,Xerez,5,1,H,2,1,H,2009
SP1,29-11-2009,Santander,La Coruna,0,1,A,0,0,D,2009
SP1,29-11-2009,Valladolid,Tenerife,3,3,D,2,0,H,2009
SP1,29-11-2009,Zaragoza,Osasuna,0,1,A,0,1,A,2009
SP1,02-12-2009,Xerez,Barcelona,0,2,A,0,0,D,2009
SP1,05-12-2009,La Coruna,Barcelona,1,3,A,1,1,D,2009
SP1,05-12-2009,Real Madrid,Almeria,4,2,H,1,0,H,2009
SP1,05-12-2009,Sevilla,Valladolid,1,1,D,1,1,D,2009
SP1,05-12-2009,Xerez,Ath Madrid,0,2,A,0,1,A,2009
SP1,06-12-2009,Ath Bilbao,Valencia,1,2,A,0,0,D,2009
SP1,06-12-2009,Espanol,Santander,0,4,A,0,0,D,2009
SP1,06-12-2009,Malaga,Osasuna,1,1,D,0,0,D,2009
SP1,06-12-2009,Mallorca,Zaragoza,4,1,H,1,0,H,2009
SP1,06-12-2009,Tenerife,Sp Gijon,2,1,H,0,1,A,2009
SP1,06-12-2009,Villarreal,Getafe,3,2,H,1,1,D,2009
SP1,12-12-2009,Barcelona,Espanol,1,0,H,1,0,H,2009
SP1,12-12-2009,Valencia,Real Madrid,2,3,A,0,0,D,2009
SP1,12-12-2009,Zaragoza,Ath Bilbao,1,2,A,0,0,D,2009
SP1,13-12-2009,Almeria,La Coruna,1,1,D,0,0,D,2009
SP1,13-12-2009,Ath Madrid,Villarreal,1,2,A,1,0,H,2009
SP1,13-12-2009,Getafe,Tenerife,2,1,H,1,0,H,2009
SP1,13-12-2009,Osasuna,Mallorca,0,1,A,0,0,D,2009
SP1,13-12-2009,Santander,Xerez,3,2,H,1,1,D,2009
SP1,13-12-2009,Sp Gijon,Sevilla,0,1,A,0,1,A,2009
SP1,13-12-2009,Valladolid,Malaga,1,1,D,0,1,A,2009
SP1,19-12-2009,Ath Bilbao,Osasuna,2,0,H,2,0,H,2009
SP1,19-12-2009,Real Madrid,Zaragoza,6,0,H,4,0,H,2009
SP1,19-12-2009,Sevilla,Getafe,1,2,A,0,2,A,2009
SP1,20-12-2009,Espanol,Almeria,2,0,H,1,0,H,2009
SP1,20-12-2009,La Coruna,Valencia,0,0,D,0,0,D,2009
SP1,20-12-2009,Malaga,Mallorca,2,1,H,1,0,H,2009
SP1,20-12-2009,Tenerife,Ath Madrid,1,1,D,1,1,D,2009
SP1,20-12-2009,Valladolid,Sp Gijon,2,1,H,1,1,D,2009
SP1,20-12-2009,Villarreal,Santander,2,0,H,0,0,D,2009
SP1,02-01-2010,Ath Madrid,Sevilla,2,1,H,0,1,A,2009
SP1,02-01-2010,Barcelona,Villarreal,1,1,D,1,0,H,2009
SP1,02-01-2010,Valencia,Espanol,1,0,H,0,0,D,2009
SP1,03-01-2010,Almeria,Xerez,1,0,H,0,0,D,2009
SP1,03-01-2010,Getafe,Valladolid,1,0,H,0,0,D,2009
SP1,03-01-2010,Mallorca,Ath Bilbao,2,0,H,0,0,D,2009
SP1,03-01-2010,Osasuna,Real Madrid,0,0,D,0,0,D,2009
SP1,03-01-2010,Santander,Tenerife,2,0,H,0,0,D,2009
SP1,03-01-2010,Sp Gijon,Malaga,2,2,D,1,1,D,2009
SP1,03-01-2010,Zaragoza,La Coruna,0,0,D,0,0,D,2009
SP1,09-01-2010,Sevilla,Santander,1,2,A,0,2,A,2009
SP1,09-01-2010,Valladolid,Ath Madrid,0,4,A,0,2,A,2009
SP1,09-01-2010,Villarreal,Almeria,1,1,D,1,0,H,2009
SP1,10-01-2010,Espanol,Zaragoza,2,1,H,1,1,D,2009
SP1,10-01-2010,La Coruna,Osasuna,1,0,H,0,0,D,2009
SP1,10-01-2010,Malaga,Ath Bilbao,1,1,D,0,0,D,2009
SP1,10-01-2010,Real Madrid,Mallorca,2,0,H,1,0,H,2009
SP1,10-01-2010,Sp Gijon,Getafe,1,0,H,1,0,H,2009
SP1,10-01-2010,Tenerife,Barcelona,0,5,A,0,3,A,2009
SP1,10-01-2010,Xerez,Valencia,1,3,A,1,2,A,2009
SP1,16-01-2010,Ath Bilbao,Real Madrid,1,0,H,1,0,H,2009
SP1,16-01-2010,Barcelona,Sevilla,4,0,H,0,0,D,2009
SP1,16-01-2010,Osasuna,Espanol,2,0,H,2,0,H,2009
SP1,17-01-2010,Almeria,Tenerife,1,1,D,0,1,A,2009
SP1,17-01-2010,Ath Madrid,Sp Gijon,3,2,H,1,1,D,2009
SP1,17-01-2010,Malaga,Getafe,1,0,H,0,0,D,2009
SP1,17-01-2010,Mallorca,La Coruna,2,0,H,0,0,D,2009
SP1,17-01-2010,Santander,Valladolid,1,1,D,0,1,A,2009
SP1,17-01-2010,Valencia,Villarreal,4,1,H,2,0,H,2009
SP1,17-01-2010,Zaragoza,Xerez,0,0,D,0,0,D,2009
SP1,23-01-2010,La Coruna,Ath Bilbao,3,1,H,0,0,D,2009
SP1,23-01-2010,Sevilla,Almeria,1,0,H,1,0,H,2009
SP1,23-01-2010,Valladolid,Barcelona,0,3,A,0,2,A,2009
SP1,24-01-2010,Espanol,Mallorca,1,1,D,0,0,D,2009
SP1,24-01-2010,Getafe,Ath Madrid,1,0,H,1,0,H,2009
SP1,24-01-2010,Real Madrid,Malaga,2,0,H,2,0,H,2009
SP1,24-01-2010,Sp Gijon,Santander,0,1,A,0,1,A,2009
SP1,24-01-2010,Tenerife,Valencia,0,0,D,0,0,D,2009
SP1,24-01-2010,Villarreal,Zaragoza,4,2,H,3,0,H,2009
SP1,24-01-2010,Xerez,Osasuna,1,2,A,1,1,D,2009
SP1,30-01-2010,Espanol,Ath Bilbao,1,0,H,0,0,D,2009
SP1,30-01-2010,La Coruna,Real Madrid,1,3,A,0,2,A,2009
SP1,30-01-2010,Sp Gijon,Barcelona,0,1,A,0,1,A,2009
SP1,31-01-2010,Ath Madrid,Malaga,0,2,A,0,1,A,2009
SP1,31-01-2010,Getafe,Santander,0,0,D,0,0,D,2009
SP1,31-01-2010,Sevilla,Valencia,2,1,H,1,0,H,2009
SP1,31-01-2010,Tenerife,Zaragoza,1,3,A,0,0,D,2009
SP1,31-01-2010,Valladolid,Almeria,1,1,D,0,1,A,2009
SP1,31-01-2010,Villarreal,Osasuna,0,2,A,0,1,A,2009
SP1,31-01-2010,Xerez,Mallorca,2,1,H,0,1,A,2009
SP1,06-02-2010,Barcelona,Getafe,2,1,H,1,0,H,2009
SP1,06-02-2010,Real Madrid,Espanol,3,0,H,2,0,H,2009
SP1,06-02-2010,Valencia,Valladolid,2,0,H,2,0,H,2009
SP1,07-02-2010,Almeria,Sp Gijon,3,1,H,2,1,H,2009
SP1,07-02-2010,Ath Bilbao,Xerez,3,2,H,1,2,A,2009
SP1,07-02-2010,Malaga,La Coruna,0,0,D,0,0,D,2009
SP1,07-02-2010,Mallorca,Villarreal,1,0,H,0,0,D,2009
SP1,07-02-2010,Osasuna,Tenerife,1,0,H,0,0,D,2009
SP1,07-02-2010,Santander,Ath Madrid,1,1,D,1,1,D,2009
SP1,07-02-2010,Zaragoza,Sevilla,2,1,H,2,1,H,2009
SP1,13-02-2010,Sp Gijon,Valencia,1,1,D,1,0,H,2009
SP1,13-02-2010,Villarreal,Ath Bilbao,2,1,H,2,1,H,2009
SP1,13-02-2010,Xerez,Real Madrid,0,3,A,0,0,D,2009
SP1,14-02-2010,Ath Madrid,Barcelona,2,1,H,2,1,H,2009
SP1,14-02-2010,Espanol,La Coruna,2,0,H,1,0,H,2009
SP1,14-02-2010,Getafe,Almeria,2,2,D,0,0,D,2009
SP1,14-02-2010,Santander,Malaga,0,3,A,0,2,A,2009
SP1,14-02-2010,Sevilla,Osasuna,1,0,H,1,0,H,2009
SP1,14-02-2010,Valladolid,Zaragoza,1,1,D,1,1,D,2009
SP1,15-02-2010,Tenerife,Mallorca,1,0,H,1,0,H,2009
SP1,20-02-2010,Barcelona,Santander,4,0,H,3,0,H,2009
SP1,20-02-2010,La Coruna,Xerez,2,1,H,2,1,H,2009
SP1,20-02-2010,Mallorca,Sevilla,1,3,A,1,1,D,2009
SP1,21-02-2010,Almeria,Ath Madrid,1,0,H,0,0,D,2009
SP1,21-02-2010,Ath Bilbao,Tenerife,4,1,H,2,0,H,2009
SP1,21-02-2010,Malaga,Espanol,2,1,H,1,1,D,2009
SP1,21-02-2010,Osasuna,Valladolid,1,1,D,0,0,D,2009
SP1,21-02-2010,Real Madrid,Villarreal,6,2,H,2,1,H,2009
SP1,21-02-2010,Zaragoza,Sp Gijon,1,3,A,0,1,A,2009
SP1,22-02-2010,Valencia,Getafe,2,1,H,1,0,H,2009
SP1,27-02-2010,Barcelona,Malaga,2,1,H,0,0,D,2009
SP1,27-02-2010,Getafe,Zaragoza,0,2,A,0,2,A,2009
SP1,27-02-2010,Tenerife,Real Madrid,1,5,A,0,2,A,2009
SP1,28-02-2010,Ath Madrid,Valencia,4,1,H,1,1,D,2009
SP1,28-02-2010,Santander,Almeria,0,2,A,0,1,A,2009
SP1,28-02-2010,Sevilla,Ath Bilbao,0,0,D,0,0,D,2009
SP1,28-02-2010,Sp Gijon,Osasuna,3,2,H,1,1,D,2009
SP1,28-02-2010,Valladolid,Mallorca,1,2,A,0,0,D,2009
SP1,28-02-2010,Villarreal,La Coruna,1,0,H,1,0,H,2009
SP1,28-02-2010,Xerez,Espanol,1,1,D,0,1,A,2009
SP1,06-03-2010,Almeria,Barcelona,2,2,D,1,1,D,2009
SP1,06-03-2010,La Coruna,Tenerife,3,1,H,1,1,D,2009
SP1,06-03-2010,Real Madrid,Sevilla,3,2,H,0,1,A,2009
SP1,07-03-2010,Ath Bilbao,Valladolid,2,0,H,2,0,H,2009
SP1,07-03-2010,Espanol,Villarreal,0,0,D,0,0,D,2009
SP1,07-03-2010,Malaga,Xerez,2,4,A,1,1,D,2009
SP1,07-03-2010,Mallorca,Sp Gijon,3,0,H,1,0,H,2009
SP1,07-03-2010,Osasuna,Getafe,0,0,D,0,0,D,2009
SP1,07-03-2010,Zaragoza,Ath Madrid,1,1,D,1,0,H,2009
SP1,08-03-2010,Valencia,Santander,0,0,D,0,0,D,2009
SP1,13-03-2010,Getafe,Mallorca,3,0,H,1,0,H,2009
SP1,13-03-2010,Sevilla,La Coruna,1,1,D,1,1,D,2009
SP1,13-03-2010,Sp Gijon,Ath Bilbao,0,0,D,0,0,D,2009
SP1,14-03-2010,Almeria,Malaga,1,0,H,0,0,D,2009
SP1,14-03-2010,Barcelona,Valencia,3,0,H,0,0,D,2009
SP1,14-03-2010,Santander,Zaragoza,0,0,D,0,0,D,2009
SP1,14-03-2010,Tenerife,Espanol,4,1,H,1,0,H,2009
SP1,14-03-2010,Valladolid,Real Madrid,1,4,A,0,2,A,2009
SP1,14-03-2010,Villarreal,Xerez,2,0,H,1,0,H,2009
SP1,15-03-2010,Ath Madrid,Osasuna,1,0,H,0,0,D,2009
SP1,20-03-2010,Ath Bilbao,Getafe,2,2,D,1,1,D,2009
SP1,20-03-2010,Espanol,Sevilla,2,0,H,1,0,H,2009
SP1,20-03-2010,La Coruna,Valladolid,0,2,A,0,1,A,2009
SP1,20-03-2010,Real Madrid,Sp Gijon,3,1,H,0,0,D,2009
SP1,20-03-2010,Xerez,Tenerife,2,1,H,2,0,H,2009
SP1,21-03-2010,Malaga,Villarreal,2,0,H,0,0,D,2009
SP1,21-03-2010,Mallorca,Ath Madrid,4,1,H,2,1,H,2009
SP1,21-03-2010,Osasuna,Santander,1,3,A,1,1,D,2009
SP1,21-03-2010,Valencia,Almeria,2,0,H,0,0,D,2009
SP1,21-03-2010,Zaragoza,Barcelona,2,4,A,0,1,A,2009
SP1,23-03-2010,Sevilla,Xerez,1,1,D,0,0,D,2009
SP1,23-03-2010,Sp Gijon,La Coruna,2,1,H,1,0,H,2009
SP1,24-03-2010,Almeria,Zaragoza,1,0,H,0,0,D,2009
SP1,24-03-2010,Barcelona,Osasuna,2,0,H,0,0,D,2009
SP1,24-03-2010,Santander,Mallorca,0,0,D,0,0,D,2009
SP1,24-03-2010,Tenerife,Villarreal,2,2,D,0,1,A,2009
SP1,24-03-2010,Valencia,Malaga,1,0,H,1,0,H,2009
SP1,24-03-2010,Valladolid,Espanol,0,0,D,0,0,D,2009
SP1,25-03-2010,Ath Madrid,Ath Bilbao,2,0,H,0,0,D,2009
SP1,25-03-2010,Getafe,Real Madrid,2,4,A,1,4,A,2009
SP1,27-03-2010,Malaga,Tenerife,1,1,D,0,0,D,2009
SP1,27-03-2010,Mallorca,Barcelona,0,1,A,0,0,D,2009
SP1,27-03-2010,Zaragoza,Valencia,3,0,H,1,0,H,2009
SP1,28-03-2010,Espanol,Sp Gijon,0,0,D,0,0,D,2009
SP1,28-03-2010,La Coruna,Getafe,1,3,A,0,2,A,2009
SP1,28-03-2010,Osasuna,Almeria,1,0,H,1,0,H,2009
SP1,28-03-2010,Real Madrid,Ath Madrid,3,2,H,0,1,A,2009
SP1,28-03-2010,Villarreal,Sevilla,3,0,H,2,0,H,2009
SP1,28-03-2010,Xerez,Valladolid,3,0,H,2,0,H,2009
SP1,29-03-2010,Ath Bilbao,Santander,4,3,H,2,1,H,2009
SP1,03-04-2010,Barcelona,Ath Bilbao,4,1,H,2,0,H,2009
SP1,03-04-2010,Sevilla,Tenerife,3,0,H,2,0,H,2009
SP1,03-04-2010,Zaragoza,Malaga,2,0,H,1,0,H,2009
SP1,04-04-2010,Almeria,Mallorca,1,1,D,1,0,H,2009
SP1,04-04-2010,Ath Madrid,La Coruna,3,0,H,1,0,H,2009
SP1,04-04-2010,Getafe,Espanol,1,1,D,1,0,H,2009
SP1,04-04-2010,Santander,Real Madrid,0,2,A,0,1,A,2009
SP1,04-04-2010,Sp Gijon,Xerez,2,2,D,1,0,H,2009
SP1,04-04-2010,Valencia,Osasuna,3,0,H,0,0,D,2009
SP1,04-04-2010,Valladolid,Villarreal,0,2,A,0,1,A,2009
SP1,10-04-2010,Malaga,Sevilla,1,2,A,1,0,H,2009
SP1,10-04-2010,Real Madrid,Barcelona,0,2,A,0,1,A,2009
SP1,10-04-2010,Tenerife,Valladolid,0,0,D,0,0,D,2009
SP1,10-04-2010,Villarreal,Sp Gijon,1,0,H,1,0,H,2009
SP1,10-04-2010,Xerez,Getafe,0,1,A,0,0,D,2009
SP1,11-04-2010,Ath Bilbao,Almeria,4,1,H,2,0,H,2009
SP1,11-04-2010,Espanol,Ath Madrid,3,0,H,0,0,D,2009
SP1,11-04-2010,La Coruna,Santander,1,1,D,1,0,H,2009
SP1,11-04-2010,Mallorca,Valencia,3,2,H,2,0,H,2009
SP1,11-04-2010,Osasuna,Zaragoza,2,0,H,1,0,H,2009
SP1,13-04-2010,Getafe,Villarreal,3,0,H,0,0,D,2009
SP1,13-04-2010,Sp Gijon,Tenerife,0,2,A,0,0,D,2009
SP1,13-04-2010,Valladolid,Sevilla,2,1,H,1,0,H,2009
SP1,14-04-2010,Ath Madrid,Xerez,1,2,A,1,1,D,2009
SP1,14-04-2010,Barcelona,La Coruna,3,0,H,1,0,H,2009
SP1,14-04-2010,Osasuna,Malaga,2,2,D,1,1,D,2009
SP1,14-04-2010,Santander,Espanol,3,1,H,1,1,D,2009
SP1,14-04-2010,Zaragoza,Mallorca,1,1,D,1,1,D,2009
SP1,15-04-2010,Almeria,Real Madrid,1,2,A,1,1,D,2009
SP1,15-04-2010,Valencia,Ath Bilbao,2,0,H,1,0,H,2009
SP1,17-04-2010,Espanol,Barcelona,0,0,D,0,0,D,2009
SP1,17-04-2010,Sevilla,Sp Gijon,3,0,H,1,0,H,2009
SP1,17-04-2010,Villarreal,Ath Madrid,2,1,H,2,0,H,2009
SP1,18-04-2010,Ath Bilbao,Zaragoza,0,0,D,0,0,D,2009
SP1,18-04-2010,La Coruna,Almeria,0,0,D,0,0,D,2009
SP1,18-04-2010,Malaga,Valladolid,0,0,D,0,0,D,2009
