Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
SP1,21-10-2006,Zaragoza,Betis,2,1,H,2,0,H,2006
SP1,22-10-2006,Ath Bilbao,Celta,0,1,A,0,1,A,2006
SP1,22-10-2006,Espanol,Santander,2,2,D,1,1,D,2006
SP1,22-10-2006,Mallorca,Sociedad,0,0,D,0,0,D,2006
SP1,22-10-2006,Real Madrid,Barcelona,2,0,H,1,0,H,2006
SP1,22-10-2006,Recreativo,Getafe,1,2,A,0,1,A,2006
SP1,22-10-2006,Sevilla,Gimnastic,2,1,H,2,0,H,2006
SP1,22-10-2006,Valencia,Osasuna,1,0,H,1,0,H,2006
SP1,28-10-2006,Barcelona,Recreativo,3,0,H,1,0,H,2006
SP1,28-10-2006,Gimnastic,Real Madrid,1,3,A,1,1,D,2006
SP1,28-10-2006,Santander,Valencia,1,0,H,0,0,D,2006
SP1,29-10-2006,Ath Madrid,Zaragoza,0,1,A,0,0,D,2006
SP1,29-10-2006,Betis,Mallorca,0,1,A,0,0,D,2006
SP1,29-10-2006,Celta,Sevilla,1,2,A,1,1,D,2006
SP1,29-10-2006,Getafe,La Coruna,2,0,H,1,0,H,2006
SP1,29-10-2006,Levante,Espanol,0,0,D,0,0,D,2006
SP1,29-10-2006,Osasuna,Ath Bilbao,1,1,D,0,1,A,2006
SP1,29-10-2006,Sociedad,Villarreal,0,1,A,0,0,D,2006
SP1,04-11-2006,La Coruna,Barcelona,1,1,D,0,1,A,2006
SP1,04-11-2006,Levante,Sociedad,2,0,H,1,0,H,2006
SP1,04-11-2006,Mallorca,Ath Madrid,0,0,D,0,0,D,2006
SP1,05-11-2006,Ath Bilbao,Santander,0,0,D,0,0,D,2006
SP1,05-11-2006,Espanol,Valencia,1,1,D,1,1,D,2006
SP1,05-11-2006,Real Madrid,Celta,1,2,A,1,1,D,2006
SP1,05-11-2006,Recreativo,Gimnastic,2,1,H,1,1,D,2006
SP1,05-11-2006,Sevilla,Osasuna,2,0,H,0,0,D,2006
SP1,05-11-2006,Villarreal,Betis,3,2,H,1,1,D,2006
SP1,05-11-2006,Zaragoza,Getafe,3,1,H,1,0,H,2006
SP1,11-11-2006,Ath Madrid,Villarreal,3,1,H,2,1,H,2006
SP1,11-11-2006,Valencia,Ath Bilbao,1,1,D,1,0,H,2006
SP1,12-11-2006,Barcelona,Zaragoza,3,1,H,1,1,D,2006
SP1,12-11-2006,Betis,Levante,2,1,H,1,0,H,2006
SP1,12-11-2006,Celta,Recreativo,1,2,A,0,0,D,2006
SP1,12-11-2006,Getafe,Mallorca,1,0,H,0,0,D,2006
